id,title,full_question,difficulty,topic,companies
424,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Medium,Strings,Uber
425,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Easy,Linked List,Amazon
426,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,"Meta, Uber, Adobe"
427,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,TCS
428,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,Flipkart
429,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Easy,Binary Search,"Adobe, TCS"
430,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Easy,HashMap,"Uber, Microsoft"
431,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Medium,HashMap,"Adobe, Oracle, Infosys"
432,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Hard,Backtracking,"PayPal, Flipkart, Meta"
433,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Medium,Stack & Queue,"Infosys, Wipro"
434,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Hard,Heap & Priority Queue,"Uber, Google"
435,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Easy,Binary Search,"Oracle, Apple"
436,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Medium,Heap & Priority Queue,"Oracle, Infosys, Apple"
437,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,"Google, Adobe"
438,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,"Google, Goldman Sachs, PayPal"
439,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Easy,Heap & Priority Queue,"PayPal, Oracle, Google"
440,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Medium,Strings,"Goldman Sachs, Amazon, Google"
441,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Hard,Linked List,"Uber, Infosys, Amazon"
442,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Medium,HashMap,"Wipro, Uber, Oracle"
443,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Easy,Arrays,"PayPal, Flipkart"
444,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Hard,Arrays,"Infosys, Wipro, Amazon"
445,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,"TCS, Apple"
446,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Hard,HashMap,"Meta, Google"
447,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Easy,Arrays,Uber
448,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Easy,Arrays,"Meta, PayPal, Apple"
449,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Easy,Linked List,Flipkart
450,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Easy,Stack & Queue,"Google, Uber, Adobe"
